,features,counts
807,parent,0.5947291239678159
808,changed,0.5945373559055569
809,according,0.5937876009443245
810,known,0.5923627192422927
811,offset,0.5913260237310834
812,part,0.5886416982940854
813,n_jobs=none,0.5884840610246751
814,criterion,0.5882274915589418
815,incremental,0.5872721876654636
816,initialization,0.586661373968118
817,raw_predictions,0.5862661625492404
818,e.g,0.5862168109426333
819,csr,0.5842845302567872
820,empty,0.5842407215688395
821,allow,0.5836518025300553
822,considered,0.5824629978959188
823,many,0.5820145780551935
824,safe_sparse_dot,0.5794512725354237
825,del,0.5787307309867442
826,machine,0.5786752243690538
827,solution,0.5768508309699989
828,typeerror,0.5765608436291999
829,containing,0.5743250707458465
830,definition,0.5736158462092129
831,self.random_state,0.5734049153279488
832,store,0.5708277969918205
833,overloaded,0.56934167047327
834,normalized,0.5664747957010076
835,classes_,0.564805284680669
836,partial_fit,0.5644739921139517
837,work,0.5644724162674861
838,stmt,0.5640702511527038
839,pair,0.5640075726750376
840,uniontype,0.5631690500996113
841,defn,0.5588266533354546
842,inferred,0.5582007216341563
843,already,0.5554196443594006
844,predict_proba,0.5549185239092307
845,.sum,0.5541924491538243
846,jobs,0.5538179640481389
847,strings,0.553527839368242
848,val,0.5521133518680611
849,sample_weight=none,0.5518381740585959
850,less,0.551552373911914
851,self.estimators_,0.5503331791661839
852,corresponds,0.5491267703809954
853,similar,0.5486911591000871
854,nonetype,0.5475524925409471
855,higher,0.5462451077316153
856,messages,0.545215775167712
857,computed,0.5442708460732112
858,scc,0.5439506199996949
859,tolerance,0.5409757619040608
860,every,0.5403541852385554
861,negative,0.5388783082815423
862,0.18,0.5388451123602997
863,calls,0.5384618915999926
864,l2,0.5350236023051698
865,coefficient,0.5347707548895382
866,nameexpr,0.5347164849531182
867,raw,0.5293891360923455
868,smaller,0.5264826616675414
869,np.random,0.5253386381305356
870,problems,0.5251473241046627
871,proba,0.525109676411404
872,x.t,0.5241558391039159
873,scipy.sparse,0.5224428291729749
874,1d,0.5203352344800348
875,processing,0.5201981542920315
876,symbol,0.5195170847788686
877,end,0.5191892560105219
878,plugin,0.5191160461495193
879,necessary,0.5180409870647883
880,cast,0.5170707986456202
881,gram,0.516481812444376
882,dense,0.5157834730973865
883,loop,0.515251229288218
884,specify,0.5144568899078882
885,n_targets,0.51264873104318
886,typeddicttype,0.511020505455438
887,were,0.5101471083705085
888,however,0.5099387917352961
889,directly,0.5095971094550511
890,prior,0.5071438763801308
891,np.log,0.5068721742645209
892,relative,0.5065918675462884
893,inertia,0.5064958546918037
894,lars,0.5061979379303425
895,even,0.505818725508133
896,unboundtype,0.5048822444234943
897,determines,0.5031671131397967
898,convert,0.5028868316596886
899,numeric,0.5023335280372463
900,lvalue,0.5003606895996501
901,np.exp,0.4991205620932635
902,raised,0.4957642968205649
903,absolute,0.49540906246350985
904,verbose=0,0.4937905709052113
905,assigned,0.48914931120889654
906,through,0.4865424999217672
907,content,0.4823087916107007
908,checking,0.48219459626171157
909,until,0.4814716604453262
910,across,0.48121112725634024
911,speed,0.4747447595426835
912,ret,0.4741183624472601
913,copy=false,0.473971967660344
914,diagonal,0.4718111638217526
915,assignment,0.47161431139547333
916,specified,0.4704914376057656
917,default=true,0.4687332161633059
918,versionchanged,0.4666133080383991
919,cov,0.46468058689022
920,due,0.46420003316310254
921,optimization,0.46270704927993817
922,coefs,0.46045522661817123
923,present,0.45991980487084205
924,along,0.458171056212092
925,warm_start,0.4567216073095116
926,self.verbose,0.4550403666109319
927,fail,0.45475153228080595
928,numbers,0.4517576921058965
929,np.empty,0.45017913111987423
930,joblib.parallel_backend,0.4501115510790026
931,processors,0.4501115510790026
932,equivalent,0.4497815592416799
933,leaves,0.44847790915981256
934,converted,0.44671126105942643
935,fixed,0.4451792605727969
936,np.float64,0.43890331982566405
937,diff,0.43876507590997144
938,alias,0.4359415830569837
939,n_iter_,0.43574388099429384
940,checks,0.43344838128053204
941,once,0.43270061380822317
942,works,0.4312538796111322
943,added,0.42856403716565156
944,respect,0.4259294206694044
945,element,0.42211089471162944
946,descent,0.42193315474057264
947,analyzer,0.41870945219360445
948,accept,0.4149622633062968
949,self.visit,0.41278331183483874
950,lasso,0.4126959758530521
951,callexpr,0.4097074463759328
952,residual,0.4091710348174824
953,keys,0.4073390906151269
954,needed,0.3968798807888222
955,visitor,0.39638721171488067
956,order=,0.395729788643972
957,callee,0.39536131173998235
958,automatically,0.39476428003477326
959,'random,0.3887261721182058
960,partial,0.3883262311985505
961,self.alpha,0.38758444256416513
962,generic,0.38684278442987946
963,funcdef,0.3813254823661776
964,manager,0.3809736577383002
965,self.max_iter,0.3782061596793855
966,previous,0.3741066935111038
967,fraction,0.3738163825685565
968,l1_ratio,0.37279526780828437
969,n_splits,0.37033657476357357
970,min_samples_split,0.36305085294191863
971,ctx,0.3628868374391731
972,is_subtype,0.354157029160934
973,typeofany.special_form,0.35146175374132393
974,typeofany.from_error,0.350933920351083
975,verbosity,0.34939509873513597
976,special,0.3428725452149394
977,correct,0.34175407745617276
978,calling,0.3411133927071347
979,member,0.33854248350944377
980,self.set_line,0.3343616349793419
981,splits,0.3296151632387162
982,self.coef_,0.32453255348511556
983,n_samples_x,0.3165382356486287
984,folds,0.31488663101414627
985,splitting,0.29447543655499253
986,min_samples_leaf,0.27263493638928726
987,estimator_orig,0.2602011878988555
988,n_alphas,0.25076047350729513
989,tp,0.24670397552811427
990,arg_kinds,0.2438575586561807
991,operator,0.24224930916399093
992,arg_types,0.2365964876170117
993,statement,0.221459328207043
994,self.named_type,0.21657072593677487
995,dep,0.21650031009640636
996,infer,0.2135534195047759
997,overload,0.20651292289262704
998,rvalue,0.19239091629443528
